12:37:48.807 [main] INFO  mh.clients.Clients - start
12:37:57.591 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-19","1992")
12:37:57.595 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-20","1771")
12:37:57.599 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-21","1828")
12:37:57.603 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-22","1826")
12:37:57.607 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-23","1965")
12:37:57.611 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-24","2055")
12:37:57.614 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-25","1914")
12:37:57.618 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-26","1812")
12:37:57.622 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-27","1824")
12:37:57.626 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-28","2045")
12:37:57.630 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-29","2082")
12:37:57.634 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-30","1918")
12:37:57.640 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-01","1903")
12:37:57.651 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-02","1906")
12:37:57.657 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-03","1833")
12:37:57.666 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-04","1828")
12:37:57.672 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-05","1888")
12:37:57.678 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-06","1954")
12:37:57.684 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-07","2013")
12:37:57.693 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-08","2114")
12:37:57.701 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-09","2015")
12:37:57.707 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-10","1897")
12:37:57.715 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-11","1949")
12:37:57.723 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-12","1794")
12:37:57.729 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-13","1974")
12:37:57.736 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-14","1446")
12:37:57.744 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-15","2067")
12:37:57.754 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-16","1942")
12:37:57.769 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-17","1785")
12:37:57.776 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-18","1775")
12:37:57.782 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-19","1842")
12:37:57.789 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-20","1861")
12:37:57.796 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-21","1813")
12:37:57.802 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-22","1949")
12:37:57.808 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-23","1832")
12:37:57.815 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-24","1726")
12:37:57.823 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-25","1835")
12:37:57.829 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-26","1616")
12:37:57.835 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-27","1864")
12:37:57.842 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-28","1856")
12:37:57.848 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-29","1870")
12:37:57.855 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-30","1824")
12:37:57.862 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-07-31","1631")
12:37:57.869 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-01","1599")
12:37:57.876 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-02","1588")
12:37:57.881 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-03","1823")
12:37:57.889 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-04","1784")
12:37:57.895 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-05","1797")
12:37:57.903 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-06","1696")
12:37:57.911 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-07","1539")
12:37:57.919 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-08","1548")
12:37:57.926 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-09","1763")
12:37:57.935 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-10","1726")
12:37:57.941 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-11","1762")
12:37:57.954 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-12","1901")
12:37:57.962 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-13","1667")
12:37:57.969 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-14","1432")
12:37:57.977 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-15","1567")
12:37:57.985 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-16","1730")
12:37:57.991 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-17","1758")
12:37:57.997 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-18","1764")
12:37:58.004 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-19","1925")
12:37:58.013 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-20","1654")
12:37:58.021 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-21","1465")
12:37:58.028 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-22","1547")
12:37:58.035 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-23","1618")
12:37:58.042 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-24","1682")
12:37:58.048 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-25","1744")
12:37:58.055 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-26","1547")
12:37:58.062 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-27","1280")
12:37:58.068 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-28","1127")
12:37:58.075 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-29","1454")
12:37:58.081 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-30","1570")
12:37:58.086 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-08-31","1584")
12:37:58.094 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-01","1682")
12:37:58.100 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-02","1506")
12:37:58.105 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-03","1533")
12:37:58.113 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-04","1451")
12:37:58.119 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-05","1448")
12:37:58.128 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-06","1460")
12:37:58.135 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-07","1599")
12:37:58.140 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-08","1554")
12:37:58.148 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-09","1559")
12:37:58.155 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-10","1525")
12:37:58.163 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-11","1269")
12:37:58.173 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-12","1357")
12:37:58.179 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-13","1330")
12:37:58.187 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-14","1416")
12:37:58.194 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-15","1398")
12:37:58.204 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-09-16","1420")
